date	txCount	price(USD)
2016-03-25	36762	11.26
2016-03-26	36646	10.77
2016-03-27	29974	10.99
2016-03-28	33613	10.43
2016-03-29	33915	11.75
2016-03-30	36767	11.61
2016-03-31	32259	11.92
2016-04-01	33320	11.4
2016-04-02	29358	11.63
2016-04-03	29588	11.63
2016-04-04	34907	11.62
2016-04-05	39173	11.21
2016-04-06	32078	10.45
2016-04-07	31893	10.7
2016-04-08	34010	10.08
2016-04-09	31923	9.69
2016-04-10	32237	9.15
2016-04-11	30327	8.94
2016-04-12	34673	8.64
2016-04-13	36051	7.44
2016-04-14	34781	8.08
2016-04-15	34959	8.39
2016-04-16	30483	8.24
2016-04-17	40203	8.62
2016-04-18	33513	9.33
2016-04-19	32622	9.08
2016-04-20	32944	8.69
2016-04-21	37181	8.45
2016-04-22	31678	8.15
2016-04-23	31845	7.79
2016-04-24	34046	8.29
2016-04-25	35430	8.01
2016-04-26	32582	7.53
2016-04-27	33847	7.39
2016-04-28	34343	7.74
2016-04-29	37332	7.21
2016-04-30	45769	7.45
2016-05-01	39578	8.78
2016-05-02	41748	8.89
2016-05-03	37821	10.17
2016-05-04	37484	9.38
2016-05-05	38707	9.4
2016-05-06	41271	9.81
2016-05-07	35864	9.32
2016-05-08	40063	9.37
2016-05-09	38560	9.49
2016-05-10	40684	9.28
2016-05-11	40811	9.43
2016-05-12	45002	10
2016-05-13	47739	10.06
2016-05-14	45745	10.51
2016-05-15	43073	10.24
2016-05-16	37424	9.97
2016-05-17	40309	11.19
2016-05-18	46033	12.18
2016-05-19	44523	13.54
2016-05-20	45177	14.85
2016-05-21	43621	13.69
2016-05-22	38895	14.04
2016-05-23	43806	14.28
2016-05-24	42911	13.31
2016-05-25	46443	12.79
2016-05-26	51147	12.52
2016-05-27	49006	12.39
2016-05-28	70148	11.33
2016-05-29	45890	12.11
2016-05-30	42927	12.33
2016-05-31	44386	12.74
2016-06-01	42221	14.11
2016-06-02	39666	13.99
2016-06-03	39834	13.74
2016-06-04	37875	13.86
2016-06-05	37896	13.76
2016-06-06	38957	14
2016-06-07	46141	13.95
2016-06-08	40433	14.51
2016-06-09	39854	14.43
2016-06-10	40145	14.38
2016-06-11	36901	13.91
2016-06-12	42581	14.19
2016-06-13	46185	15.77
2016-06-14	50335	17.61
2016-06-15	43251	18.91
2016-06-16	43392	18.36
2016-06-17	66558	20.65
2016-06-18	63083	15.38
2016-06-19	51035	11.17
2016-06-20	47118	12.24
2016-06-21	47323	11.82
2016-06-22	48615	13.2
2016-06-23	41908	13.22
2016-06-24	45331	13.68
2016-06-25	36684	14.3
2016-06-26	41613	14.26
2016-06-27	39663	13.81
2016-06-28	43089	13.93
